number,domain,classification
1,smashsportsbetting.com,illegal
2,www.proline.ca,illegal
3,sport.synottip.cz,illegal
4,betflash.co.za,illegal
5,www.betfreesports.com,illegal
6,topbet.eu,illegal
7,10bet.com,illegal
8,www.bola88.com,illegal
9,www.pokerstars.cz,illegal
10,www.lotto-centrum.com,illegal
11,energycasino.com,illegal
12,queenvegas.com,illegal
13,sport.netbet.co.uk,illegal
14,betive.com,illegal
15,interbet.co.za,illegal
16,casinowinner.com,illegal
17,promotions.wildcasino.ag,illegal
18,luckyniki.com,illegal
19,www.liga365.com,illegal
20,pocketvegas.co.uk,illegal
21,rikstoto.no,illegal
22,morganbet.eu,illegal
23,www.drakecasino.eu,illegal
24,bingo.com,illegal
25,betgoto.com,illegal
26,www.geoff-banks.com,illegal
27,www.lottery.ie,illegal
28,www.bettingexpress.com,illegal
29,allstarbet.com,illegal
30,www.377bet.com,illegal
31,titanbet.com,illegal
32,csgodices.com,illegal
33,www.grandeaglecasino.com,illegal
34,www.leojackpot.com,illegal
35,www.chanz.com,illegal
36,www.vipsports.eu,illegal
37,megalotto.pl,illegal
38,www.heavenbet.com,illegal
39,www.zeturf.fr,illegal
40,www.betredkings.com,illegal
41,oddsring.com,illegal
42,www.casimba.com,illegal
43,www.lotto24bingo.com,illegal
44,www.loterie.ma,illegal
45,www.betcc.com,illegal
46,www.toto.bg,illegal
47,www.bet90.com,illegal
48,www.dreamvegas.com,illegal
49,casilando.com,illegal
50,www.lotto-sh.de,illegal
51,www.admiralspot.com,illegal
52,gotosportsbook.com,illegal
53,www.diegocasino.com,illegal
54,www.vwin.com,illegal
55,www.csgoblackjack.com,illegal
56,partypoker.cz,illegal
57,www.betprestige.com,illegal
58,www.leovegas.com,illegal
59,fullbetter.com,illegal
60,www.duelz.com,illegal
101,etipos.sk,illegal
102,speedybet.com,illegal
103,www.rb88.com,illegal
104,madbookie.com.au,illegal
105,www.nlb.lk,illegal
106,www.parionssport.fdj.fr,illegal
107,88asia88.com,illegal
108,www.multipasko.pl,illegal
109,betpanther.com,illegal
110,www.geobet.com,illegal
111,mr.bet,illegal
112,www.rikstoto.no,illegal
113,stoloto.ru,illegal
114,lottery.ie,illegal
115,sports.betway.com,illegal
116,score99.net,illegal
117,kasinot.fi,illegal
118,betinternet.com,illegal
119,www.speedybet.com,illegal
120,betrebels.com,illegal
121,betgolf.com.au,illegal
122,www.etopaz.az,illegal
123,bet.hkjc.com,illegal
124,www.faber.de,illegal
125,www.casinocalzone.com,illegal
126,bettor.com,illegal
127,www.betngo.com,illegal
128,kaszinoonline.net,illegal
129,gobetgo.com,illegal
130,www.gr88.com,illegal
131,www.spinland.com,illegal
132,www.hajper.com,illegal
133,www.amcleanbookmakers.com,illegal
134,www.betsafe.com,illegal
135,www.sportingindex.com,illegal
136,thebettingguy.co.uk,illegal
137,skytowersportsbook.com,illegal
138,www.csgochance.com,illegal
139,www.dream11.com,illegal
140,www.pro-factory.com,illegal
141,www.worldwidegamble.com,illegal
142,templenile.com,illegal
143,snabbare.com,illegal
144,www.heritagesports.eu,illegal
145,www.riverbellecasino.com,illegal
146,casinobitco.in,illegal
147,livebetting.bwin.com,illegal
148,www.championsbet.net,illegal
149,www.bitsaloon.com,illegal
150,www.slotocash.im,illegal
151,22bet.com,illegal
152,www.primeslots.com,illegal
153,mrgreen.com,illegal
154,www.444sports.com,illegal
155,bobetting.com,illegal
156,sportsbet.io,illegal
201,www.igame.se,illegal
202,www.skinbet.com,illegal
203,plus.betway.com,illegal
204,bestbet.com,illegal
205,ezbets.ag,illegal
206,www.latloto.lv,illegal
207,glimmercasino.com,illegal
208,www.allhorseracing.ag,illegal
209,www.macaubet.com,illegal
210,www.vision11.in,illegal
211,bettropics.com,illegal
212,wwin.ba,illegal
213,www.colossusbets.com,illegal
214,www.chisholmbet.com,illegal
215,www.getlucky.com,illegal
216,www.betcanadian.com,illegal
217,www.livelounge.com,illegal
218,lotenal.gob.mx,illegal
219,kashmobet.com,illegal
220,88winners.com,illegal
221,wixstars.com,illegal
222,betcascade.com,illegal
223,www.casumo.com,illegal
224,www.sverigecasino.com,illegal
225,hajper.com,illegal
226,paf.com,illegal
227,www.captaincookscasino.eu,illegal
228,bet3000.com,illegal
229,fanduel.com,illegal
230,e-stave.com,illegal
231,www.slotsheaven.com,illegal
232,www.eloterija.si,illegal
233,slotsheaven.com,illegal
234,21casino.com,illegal
235,www.lowvig.ag,illegal
236,www.oddsmaker.ag,illegal
237,www.bodugi.com,illegal
238,mpi.gov.tr,illegal
239,bestbettoday.com,illegal
240,gamebookers.com,illegal
241,svenskaspel.se,illegal
242,betcityru.com,illegal
243,www.leisure888.com,illegal
244,giocoreale.com,illegal
245,www.mysportsbook.ag,illegal
246,betway.com,illegal
247,spreadex.com,illegal
248,mysportsbook.ag,illegal
249,www.bet1128.com,illegal
250,skedina.com,illegal
251,noxwin.com,illegal
252,casinostugan.com,illegal
253,betprimetime.com,illegal
254,mozzartbet.com,illegal
255,casinocalzone.com,illegal
256,www.cricketbetlive.com,illegal
257,www.metalcasino.com,illegal
258,desertnightscasino.co.uk,illegal
259,www.btcsportsbet.com,illegal
260,www.cbmsport.com,illegal
261,jojobet.com,illegal
262,www.justbet.co.za,illegal
263,chisholmbet.com,illegal
264,betstar.com.au,illegal
265,coral.co.uk,illegal
266,32redsport.com,illegal
267,www.my11circle.com,illegal
268,www.macau-slot.com,illegal
301,www.chancehill.com,illegal
302,www.p7campaign.com,illegal
303,etopaz.az,illegal
304,www.mobocasino.com,illegal
305,jackpotvillage.com,illegal
306,www.tonybet.com,illegal
307,butterflybingo.com,illegal
308,betswar.com,illegal
309,sssbet.com,illegal
310,hypercasino.com,illegal
311,mylotto.co.nz,illegal
312,lmbookmaker.com,illegal
313,redspins.com,illegal
314,primeslots.com,illegal
315,www.betcityru.com,illegal
316,vipsports.eu,illegal
317,betrockit.com,illegal
318,cricketbetlive.com,illegal
319,www.kingneptunescasino.eu,illegal
320,sazka.cz,illegal
321,nostrabet.com,illegal
322,www.sanfrancasino.com,illegal
323,www.wagerweb.ag,illegal
324,betphoenix.ag,illegal
325,www.elitebetkenya.com,illegal
326,www.alphadraft.com,illegal
327,www.2betab.com,illegal
328,www.allstarbet.com,illegal
329,scandibet.com,illegal
330,www.pinnacle.com,illegal
331,bestsportslines.com,illegal
332,www.spincasino.com,illegal
333,mrplay.com,illegal
334,www.planetwin365.com,illegal
335,opcrates.com,illegal
336,rubet.com,illegal
337,dreamjackpot.com,illegal
338,www.bet2290.com,illegal
339,spinland.com,illegal
340,eloterija.si,illegal
341,samvo.com,illegal
342,www.efirbet.com,illegal
343,www.loto.ro,illegal
344,www.szuperlotto.com,illegal
345,betjambo.com,illegal
346,www.smashsportsbetting.com,illegal
347,www.golazobet.com,illegal
348,www.kingschancecampaign.com,illegal
349,www.cherrycasino.com,illegal
350,loro.ch,illegal
351,www.klasselotteriet.dk,illegal
352,www.sbgglobal.eu,illegal
353,bestcasino.com,illegal
354,www.codeta.com,illegal
355,www.esball.net,illegal
356,www.bigbetworld.com,illegal
357,www.playamo.com,illegal
358,draftkings.com,illegal
359,www.intertops.eu,illegal
360,leojackpot.com,illegal
361,www.magnum4d.my,illegal
